"Story","Title","Result","Date","Stability","Duration (s)"
"As a IMDb user","Validate director name displayed on program details page","ERROR","2018-01-22T09:15:56.672+05:30","0.0","0.07"
"As a IMDb user","Validate search functionality on IMDB homepage","ERROR","2018-01-22T09:15:54.451+05:30","0.0","1.36"
